id,user_id,time,usage,created_at,updated_at
29,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-02 05:00:00 UTC,0.8830000000000001,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
30,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-02 06:00:00 UTC,0.9600000000000001,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
31,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-02 07:00:00 UTC,1.144,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
32,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-02 08:00:00 UTC,1.407,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
33,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-02 09:00:00 UTC,1.452,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
34,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-02 10:00:00 UTC,1.431,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
35,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-02 11:00:00 UTC,1.486,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
36,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-02 12:00:00 UTC,1.428,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
37,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-02 13:00:00 UTC,1.364,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
38,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-02 14:00:00 UTC,1.299,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
39,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-02 15:00:00 UTC,1.266,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
40,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-02 16:00:00 UTC,1.345,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
41,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-02 17:00:00 UTC,1.341,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
42,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-02 18:00:00 UTC,1.593,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
43,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-02 19:00:00 UTC,1.835,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
44,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-02 20:00:00 UTC,1.542,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
45,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-02 21:00:00 UTC,1.477,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
46,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-02 22:00:00 UTC,1.369,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
47,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-02 23:00:00 UTC,1.119,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
48,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-03 00:00:00 UTC,0.9380000000000002,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
49,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-03 01:00:00 UTC,0.855,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
50,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-03 02:00:00 UTC,0.8070000000000001,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
51,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-03 03:00:00 UTC,0.774,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
52,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-03 04:00:00 UTC,0.792,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
53,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-03 05:00:00 UTC,0.949,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
54,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-03 06:00:00 UTC,1.075,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
55,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-03 07:00:00 UTC,1.26,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
56,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-03 08:00:00 UTC,1.351,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
57,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-03 09:00:00 UTC,1.497,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
